Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i
0.00389,4.2,80.0
0.00407,4.1,80.0
0.00389,4.2,80.0
0.00404,4.1,80.0
0.00407,4.1,80.0
0.00404,4.0,80.0
0.00389,4.2,80.0
0.00389,4.1,80.0
0.00389,4.2,80.0
0.00404,4.1,80.0
0.00389,4.2,80.0
0.00389,4.3,80.0
0.00384,4.2,80.0
0.00401,4.3,80.0
0.00404,4.2,80.0
0.00401,4.2,80.0
0.00375,4.2,80.0
0.00407,4.2,80.0
0.00389,4.3,80.0
0.0041,4.2,80.0
0.00389,4.3,80.0
0.0041,4.2,80.0
0.00389,4.3,80.0
0.00407,4.2,80.0
0.00389,4.3,80.0
0.00404,4.2,80.0
0.00384,4.3,80.0
0.00407,4.2,80.0
0.00389,4.3,80.0
0.00407,4.2,80.0
0.00389,4.3,80.0
0.00407,4.2,80.0
0.00389,4.3,80.0
0.00407,4.2,80.0
0.00389,4.3,80.0
0.00398,4.2,80.0
0.00401,4.0,80.0
0.00372,3.9,80.0
0.00378,4.0,80.0
0.00401,4.0,80.0
0.00384,4.1,80.0
0.00395,4.0,80.0
0.00381,4.0,80.0
0.00398,4.0,80.0
0.00384,3.8,80.0
0.00384,3.7,80.0
0.0053,5.7,120.0
0.00538,5.7,120.0
0.00534,5.7,120.0
0.00534,5.8,120.0
0.00534,5.8,120.0
0.0053,5.8,120.0
0.00526,5.8,120.0
0.00534,5.8,120.0
0.0053,5.3,120.0
0.00526,5.2,120.0
0.00534,5.1,120.0
0.00538,5.0,120.0
0.00526,5.6,120.0
0.0053,5.6,120.0
0.00538,5.6,120.0
0.0053,5.6,120.0
0.00506,5.8,120.0
0.0051,5.8,120.0
0.00522,5.8,120.0
0.00514,5.8,120.0
0.00514,6.1,120.0
0.0051,6.1,120.0
0.00514,6.1,120.0
0.00514,6.1,120.0
0.00534,5.8,120.0
0.0053,5.8,120.0
0.00534,5.8,120.0
0.00538,5.8,120.0
0.00526,5.7,120.0
0.0053,5.7,120.0
0.0053,5.7,120.0
0.00526,5.7,120.0
0.00506,5.9,120.0
0.00506,5.8,120.0
0.00506,5.9,120.0
0.00514,5.9,120.0
0.00538,5.9,120.0
0.0053,5.9,120.0
0.0053,5.8,120.0
0.00532,5.9,120.0
0.00526,5.8,120.0
0.00522,5.8,120.0
0.00518,5.8,120.0
0.00526,5.8,120.0
0.0053,5.8,120.0
0.0053,5.8,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.00526,6.0,120.0
0.0051,6.0,120.0
0.00514,6.0,120.0
0.00514,6.0,120.0
0.00534,5.7,120.0
0.0053,5.6,120.0
0.00514,6.0,119.0
0.00503,5.3,120.0
0.00526,5.3,120.0
0.00514,5.3,120.0
0.00484,5.5,120.0
0.00491,5.6,120.0
0.00514,5.3,120.0
0.00522,5.5,120.0
0.00526,5.6,120.0
0.00534,5.6,120.0
0.00538,5.5,120.0
0.00554,5.8,120.0
0.00567,6.0,120.0
0.0058,6.2,120.0
0.00499,5.7,120.0
0.0053,5.8,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.00558,5.9,120.0
0.00558,5.9,120.0
0.00562,6.0,120.0
0.00575,6.1,120.0
0.0053,5.6,120.0
0.00526,5.6,120.0
0.00526,5.6,120.0
0.00526,5.6,120.0
0.00514,6.0,120.0
0.00514,6.0,120.0
0.00514,6.0,120.0
0.00534,6.0,120.0
0.0053,5.7,120.0
0.00534,5.7,120.0
0.00538,5.8,120.0
0.00538,5.8,120.0
0.00522,5.6,120.0
0.0053,5.6,120.0
0.00538,5.6,120.0
0.00538,5.7,120.0
0.00503,6.0,120.0
0.00514,6.0,120.0
0.00522,6.0,120.0
0.0053,6.0,120.0
0.00534,5.9,120.0
0.00538,5.9,120.0
0.00546,5.9,120.0
0.00542,5.9,120.0
0.0053,5.7,120.0
0.00526,5.7,120.0
0.00526,5.7,120.0
0.0053,5.7,120.0
0.0053,6.0,120.0
0.00514,6.1,120.0
0.00514,6.1,120.0
0.0053,6.1,120.0
0.00546,5.8,120.0
0.00534,5.7,120.0
0.00542,5.8,120.0
0.00534,5.8,120.0
0.00534,5.7,120.0
0.00518,5.7,120.0
0.0053,5.7,120.0
0.0053,5.7,120.0
0.00522,6.1,120.0
0.0053,6.1,120.0
0.00514,6.1,120.0
0.00534,6.1,120.0
0.00538,5.3,120.0
0.00534,5.2,120.0
0.00526,5.1,120.0
0.00536,5.2,120.0
0.00522,5.6,120.0
0.00526,5.4,120.0
0.00522,5.4,120.0
0.00522,5.5,120.0
0.00506,5.8,120.0
0.00499,5.6,120.0
0.00503,5.6,120.0
0.00506,5.7,120.0
0.00538,5.4,120.0
0.00534,5.5,120.0
0.00538,5.5,120.0
0.00542,5.5,120.0
0.00534,5.7,120.0
0.00534,5.7,120.0
0.0053,5.7,120.0
0.00526,5.7,120.0
0.00522,6.0,120.0
0.00514,6.0,120.0
0.0053,6.0,120.0
0.0053,6.1,120.0
0.00538,5.7,120.0
0.00542,5.7,120.0
0.00546,5.7,120.0
0.00538,5.7,120.0
0.00534,5.8,120.0
0.00526,5.8,120.0
0.00534,5.8,120.0
0.00526,5.8,120.0
0.00534,6.1,120.0
0.0053,6.1,120.0
0.00514,6.1,120.0
0.00534,6.1,120.0
0.00538,5.9,120.0
0.00538,5.9,120.0
0.00538,5.9,120.0
0.00542,5.9,120.0
0.0053,5.8,120.0
0.0053,5.8,120.0
0.00538,5.8,120.0
0.00534,5.8,120.0
0.0053,6.2,120.0
0.0053,6.1,120.0
0.00534,6.1,120.0
0.0053,6.1,120.0
0.00534,5.8,120.0
0.00534,5.8,120.0
0.0053,5.8,120.0
0.00526,5.8,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.0053,5.9,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.00538,5.9,120.0
0.00522,6.0,120.0
0.0053,6.0,120.0
0.00522,6.0,120.0
0.00526,6.0,120.0
0.00514,6.4,120.0
0.0053,6.4,120.0
0.00538,6.4,120.0
0.00546,6.4,120.0
0.00538,6.0,120.0
0.00534,6.1,120.0
0.00538,6.1,120.0
0.00542,6.1,120.0
0.00526,6.0,120.0
0.00522,6.1,120.0
0.00526,6.1,120.0
0.00522,6.1,120.0
0.00522,6.1,120.0
0.00534,6.1,120.0
0.00522,6.1,120.0
0.00526,6.1,120.0
0.00514,6.4,120.0
0.0053,6.4,120.0
0.00534,6.4,120.0
0.00534,6.4,120.0
0.0053,6.1,120.0
0.0053,6.1,120.0
0.00526,6.1,120.0
0.00526,6.1,120.0
0.0053,6.0,120.0
0.00534,6.0,120.0
0.00534,6.0,120.0
0.00534,6.0,120.0
0.00538,6.0,120.0
0.00526,6.1,120.0
0.0053,6.1,120.0
0.0053,6.1,120.0
0.0053,6.4,120.0
0.00522,6.4,120.0
0.00534,6.4,120.0
0.00534,6.4,120.0
0.00534,6.4,120.0
0.00522,6.4,120.0
0.00534,6.4,120.0
0.00534,6.4,120.0
0.00532,6.0,120.0
0.0053,6.0,120.0
0.0053,6.0,120.0
0.0053,5.9,120.0
0.00506,6.2,120.0
0.0053,6.2,120.0
0.00522,6.2,120.0
0.00534,6.1,120.0
0.00534,5.9,120.0
0.00534,5.9,120.0
0.0053,5.9,120.0
0.00534,5.9,120.0
0.00514,6.2,120.0
0.0053,6.2,120.0
0.00534,6.2,120.0
0.00534,6.2,120.0
